CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00341;28;19;925;905;30
CMHJGECF_00342;13;9;290;222;8
CMHJGECF_00343;12;5;82;143;10
CMHJGECF_00344;21;23;162;228;21
CMHJGECF_00345;133;116;1246;1234;144
CMHJGECF_00347;367;192;1870;1993;225
CMHJGECF_00348;321;158;1243;1138;218
CMHJGECF_00349;97;88;1857;1565;109
CMHJGECF_00350;29;24;348;388;17
CMHJGECF_00351;30;23;277;195;26
CMHJGECF_00352;15;7;124;125;12
CMHJGECF_00353;189;121;1331;1090;151
CMHJGECF_00354;939;574;6829;5588;823
CMHJGECF_00355;267;220;2775;2438;251
CMHJGECF_00356;883;694;7473;6720;755
CMHJGECF_00357;106;79;985;860;103
CMHJGECF_00358;26;42;241;272;73
CMHJGECF_00359;13;23;110;131;20
CMHJGECF_00360;7;6;53;59;8
CMHJGECF_00361;615;794;4397;4195;927
CMHJGECF_00362;2;1;38;62;3
CMHJGECF_00363;105;138;953;931;168
CMHJGECF_00364;137;175;890;1045;222
CMHJGECF_00365;155;128;1179;1132;134
CMHJGECF_00366;239;271;2576;2936;323
CMHJGECF_00367;311;208;2248;1735;297
CMHJGECF_00368;368;239;2639;2068;347
CMHJGECF_00369;235;106;1238;1176;162
CMHJGECF_00370;11;4;127;202;14
CMHJGECF_00371;412;195;2865;2343;364
CMHJGECF_00372;137;101;2380;2315;149
CMHJGECF_00373;361;329;4999;4196;433
CMHJGECF_00374;251;189;2797;2221;237
CMHJGECF_00375;24297;17281;66290;78331;18556
CMHJGECF_00376;1496;965;7643;7630;1260
CMHJGECF_00377;144;124;496;1028;136
CMHJGECF_00378;381;272;1952;1782;335
CMHJGECF_00379;172;120;650;796;166
CMHJGECF_00380;263;211;976;1052;195
CMHJGECF_00381;151;165;1052;1176;157
CMHJGECF_00382;364;254;1954;1820;346
CMHJGECF_00383;230;179;1419;1646;236
CMHJGECF_00384;86;77;592;682;74
CMHJGECF_00385;77;75;597;837;80
CMHJGECF_00386;159;120;758;906;139
CMHJGECF_00387;115;98;747;1002;112
CMHJGECF_00388;115;84;418;505;105
CMHJGECF_00389;61;46;431;558;69
CMHJGECF_00390;2591;2192;16722;15937;2377
CMHJGECF_00391;302;241;2174;2991;273
CMHJGECF_00392;895;732;5586;5599;936
CMHJGECF_00393;1630;1256;8913;9393;1567
CMHJGECF_00394;29;23;200;329;30
CMHJGECF_00395;1977;1633;12172;15049;2035
CMHJGECF_00397;830;641;3953;4369;848
CMHJGECF_00398;373;393;2633;2736;409
CMHJGECF_00399;343;276;2368;2009;357
CMHJGECF_00400;130;109;798;796;113
CMHJGECF_00401;1445;891;4261;4729;1228
CMHJGECF_00402;49;34;340;459;33
CMHJGECF_00403;3038;8091;329661;525169;7643
